Year,AvgBudget,AvgGross
1980,11566250,44291964
1981,10998413,29186626
1982,11767254,38043931
1983,10695169,27969266
1984,12342511,33241589
1985,12718526,34036733
1986,12754418,29649299
1987,13140074,32286875
1988,13287154,33475531
1989,15320583,48057023
1990,18238766,54777074
1991,19826737,48853554
1992,20213433,49500534
1993,18766084,50909954
1994,25392615,65279443
1995,25665462,61832140
1996,28781086,63017201
1997,35040967,84452110
1998,36890311,73354740
1999,41364633,82105936
2000,38897239,80959309
2001,38833133,92894899
2002,36622133,95033324
2003,41499560,108181579
2004,44286880,114713292
2005,42291141,102223465
2006,43900000,109673153
2007,45003248,122660724
2008,43765088,122305855
2009,43991228,132397677