Year,AvgBudget
1980,11566250
1981,10998413
1982,11767254
1983,10695169
1984,12342511
1985,12718526
1986,12754418
1987,13140074
1988,13287154
1989,15320583
1990,18238766
1991,19826737
1992,20213433
1993,18766084
1994,25392615
1995,25665462
1996,28781086
1997,35040967
1998,36890311
1999,41364633
2000,38897239
2001,38833133
2002,36622133
2003,41499560
2004,44286880
2005,42291141
2006,43900000
2007,45003248
2008,43765088
2009,43991228
2010,46663110
2011,49179563
2012,47713467
2013,50320932
2014,45731902
2015,46921321
2016,55261006
2017,55712030
2018,49041818
2019,58240789